,rank
Brazil,0.2265849249079602
Spain,0.194723358526426
Germany,0.17933680015193587
Argentina,0.17572831456634497
France,0.17462399529329964
England,0.17032001793736978
Netherlands,0.16986395044533178
Italy,0.15969954653970608
Hungary,0.1523828260177841
Mexico,0.1479673831161122
Portugal,0.14364500415337633
Russia,0.13878083153711804
Sweden,0.13647602407183482
Belgium,0.13172633720263308
Czechoslovakia,0.12877578807838583
Uruguay,0.12782065650352695
Yugoslavia,0.12685303591148267
Padania,0.12640071444602466
Denmark,0.12604077010711087
Norway,0.12277485723787587
Chile,0.12064602068131455
Poland,0.12025072492893216
Croatia,0.11678654475619193
Turkey,0.11267171528877568
Romania,0.11237769238057672
Egypt,0.11171545269177417
South Korea,0.10800011760320209
United States,0.10569062491065091
Switzerland,0.10533363073852585
Scotland,0.10485679533073397
German DR,0.10457393588727487
Australia,0.10416230043242504
Czech Republic,0.10394117276438071
Republic of Ireland,0.10359112605831336
Austria,0.10091941584159887
Japan,0.1001182973967647
Cameroon,0.09956062889618714
Bulgaria,0.09333479321886831
China PR,0.09178400653692151
Yorkshire,0.09008824397753158
Serbia,0.08960218654617132
Tunisia,0.08765964456032654
Wales,0.08606695725421037
Nigeria,0.08564984096786321
Morocco,0.08533543141886633
Northern Cyprus,0.08408701720261653
Parishes of Jersey,0.08342246783493862
Peru,0.08167126185826429
Greece,0.07869637257558787
Colombia,0.07837259238654151
Basque Country,0.07830764815640573
Saudi Arabia,0.07653489452571947
Algeria,0.07450596848937563
Ukraine,0.0740896075543293
Slovakia,0.07277030336063721
Paraguay,0.07249384307102148
Senegal,0.07161278017057995
Iran,0.07119347786617372
Northern Ireland,0.0708391404902878
South Africa,0.07008892131759185
Ellan Vannin,0.06960737929721196
Ivory Coast,0.06679033914927221
Ecuador,0.06612654792970546
Costa Rica,0.06563321869882865
Israel,0.06472901651029764
Catalonia,0.06245483218687246
County of Nice,0.06126050105531278
Artsakh,0.06097866944874113
Bosnia and Herzegovina,0.05839486371936449
Ghana,0.056732213982394565
Iceland,0.056373550005828804
Slovenia,0.05547449005484586
Finland,0.055293106266139834
Trinidad and Tobago,0.05310744155756122
Canada,0.05197558051010004
Abkhazia,0.05146374074699437
North Korea,0.050318002549138964
Galicia,0.05026525365213883
Székely Land,0.048599503573507535
Belarus,0.048260583602623926
Jersey,0.04756324586676819
Qatar,0.044343063967080786
Venezuela,0.04379866297363804
Gibraltar,0.04306861723092057
Libya,0.04262115065852116
Georgia,0.04261399966562311
Sápmi,0.0420079821169251
Albania,0.0419503040403744
Iraqi Kurdistan,0.0419407165156735
Honduras,0.04184808181842048
United Arab Emirates,0.041562929355993365
Iraq,0.04115273820890092
North Macedonia,0.04082489514228825
Jordan,0.039137426834968965
Kuwait,0.038393617224004306
Guernsey,0.03794775141469273
Zambia,0.037291414084765134
Estonia,0.03675530016091289
Bolivia,0.036007784165566874
Oman,0.03581478394202574
Indonesia,0.03459217232912158
Asturias,0.03437769835296922
Montenegro,0.033535718473524746
Faroe Islands,0.03325310215462145
Zimbabwe,0.033211699948895834
Guinea,0.031861955357376646
Haiti,0.03171535602410629
New Zealand,0.03139766408419727
Mali,0.031366988683588844
Isle of Wight,0.03083831676763842
Jamaica,0.03055558261281658
DR Congo,0.03027984849690242
Arameans Suryoye,0.029867658463384798
Bahrain,0.02975640354821476
Ynys Môn,0.02939106171330678
Armenia,0.029360872830448272
South Ossetia,0.029193274110136943
Kárpátalja,0.029172800776865623
Malaysia,0.02884414107634978
Uganda,0.028797984864139682
Chameria,0.028378669867563416
Luxembourg,0.026949080311659844
El Salvador,0.02685031237794756
Malta,0.026696644326815473
Kenya,0.026618337917595544
Isle of Man,0.02651543860557325
Åland Islands,0.026462702354271724
Angola,0.026367954190333293
Occitania,0.026176817494142017
Gabon,0.026049383764841484
Cuba,0.025996523262929803
Thailand,0.025539753484784815
Provence,0.024973562180587616
Liberia,0.02486471285549221
Togo,0.024848920314386878
Uzbekistan,0.024806170676557247
Kosovo,0.02479622793445577
Guatemala,0.024740592089279773
Syria,0.024715592925800823
Ethiopia,0.024617361147250875
Guadeloupe,0.024576366922492182
Congo,0.024534386668435083
Burkina Faso,0.02452643219243262
Barawa,0.024429244313185026
Martinique,0.02418540954287781
Kernow,0.02413155157519337
Cyprus,0.02382934505336281
Andalusia,0.02368469391603971
Rhodes,0.02357902091761144
Sudan,0.023386608981853043
Curaçao,0.023372380862581123
Malawi,0.023216955170015447
Kazakhstan,0.02305431549524921
Lebanon,0.022894506879670495
Panama,0.022881921478351278
Cape Verde,0.0225945044763576
Greenland,0.022430951297404862
Bermuda,0.022344095893682407
Benin,0.02199460707117697
Madagascar,0.021784844479329067
Singapore,0.021640175428829147
India,0.021567774561951962
Corsica,0.021370731500573805
Tahiti,0.020987028187007314
Suriname,0.020948140327396433
Lithuania,0.0209228893924421
Zanzibar,0.020563397577007137
Burma,0.020272457931700922
Central Spain,0.02009287800417788
Panjab,0.019924007832592554
Tanzania,0.019921996266955098
Azerbaijan,0.019481827249036656
New Caledonia,0.01916114155561355
Palestine,0.018867400994890097
